time,survival_probability
0,1.0
1,0.9523809523809522
2,0.9047619047619045
3,0.8809523809523808
4,0.8333333333333331
5,0.7857142857142856
6,0.7142857142857143
7,0.6896551724137929
8,0.5911330049261083
9,0.5911330049261083
10,0.5654315699293212
11,0.5115809442217667
12,0.4547386170860149
13,0.426317453518139
15,0.39789628995026294
16,0.3694751263823871
17,0.34105396281451117
19,0.34105396281451117
20,0.34105396281451117
22,0.2652641933001753
23,0.1894744237858395
25,0.1894744237858395
32,0.1894744237858395
34,0.1894744237858395
35,0.1894744237858395
